slot,benchmark_attestations,g1_matching_attestations_on_CA,g2_matching_attestations_on_CB
956,21,11,11
957,21,11,11
958,21,11,11
959,21,11,11
960,21,11,11
961,21,11,11
962,21,11,11
963,21,11,11
964,21,11,11
965,21,11,11
966,21,11,11
967,21,11,11
968,21,11,11
969,21,11,11
970,21,11,11
971,21,11,11
972,21,11,11
973,21,11,11
974,21,11,11
975,21,11,11
976,21,11,11
977,21,11,11
978,21,11,11
979,21,11,11
980,21,11,11
981,21,11,11
982,21,11,11
983,21,11,11
984,21,11,11
985,21,11,11
986,21,11,11
987,21,11,11
988,21,11,11
989,21,11,11
990,21,11,11
991,21,11,11
992,21,11,11
993,21,11,11
994,21,11,11
995,21,11,11
996,21,11,11
997,21,11,11
998,21,11,11
999,21,11,4
1000,21,11,4
1001,21,11,4
1002,21,11,3
1003,21,11,3
1004,21,11,3
1005,21,11,3
1006,21,11,3
1007,21,11,3
1008,21,11,3
1009,21,11,3
1010,21,11,3
1011,21,11,3
1012,21,11,3
1013,21,11,3
1014,21,11,3
1015,21,11,3
1016,21,11,3
1017,21,11,3
1018,21,11,3
1019,21,11,3
1020,21,11,3
1021,21,11,3
1022,21,11,3
1023,21,11,3
1024,21,11,3
1025,21,11,3
1026,21,11,3
1027,21,11,3
1028,21,11,3
1029,21,11,3
1030,21,11,3
1031,21,11,3
1032,21,11,3
1033,21,11,3
1034,21,11,3
1035,21,11,7
1036,21,11,9
1037,21,11,9
1038,21,11,9
1039,21,11,9
1040,21,11,10
1041,21,11,10
1042,21,11,10
1043,21,11,10
1044,21,11,10
1045,21,11,10
1046,21,11,10
1047,21,11,10
1048,21,11,10
1049,21,11,10
1050,21,11,10
1051,21,11,10
1052,21,11,11
1053,21,11,11
1054,21,11,11
1055,21,11,11
1056,21,11,11
1057,21,11,11
1058,21,11,11
1059,21,11,11
1060,21,11,11
1061,21,11,11
1062,21,11,11
1063,21,11,11
1064,21,11,11
1065,21,11,11
1066,21,11,11
1067,21,11,11
1068,21,11,11
1069,21,11,11
1070,21,11,11
1071,21,11,11
1072,21,11,11
1073,21,11,11
1074,21,11,11
1075,21,11,11
1076,21,11,11
1077,21,11,11
1078,21,11,11
1079,21,11,11
1080,21,11,11
1081,21,11,11
1082,21,11,11
1083,21,11,11
1084,21,11,11
1085,21,11,11
1086,21,11,11
1087,21,11,11
1088,21,11,11
1089,21,16,17
1090,21,16,17
1091,21,16,16
1092,21,16,9
1093,21,16,14
1094,21,16,0
1095,21,16,8
1096,21,16,15
1097,21,2,17
1098,21,16,17
1099,21,16,17
1100,21,16,17
1101,21,16,17
1102,21,16,17
1103,21,16,17
1104,21,16,17
1105,21,16,17
1106,21,16,17
1107,21,16,17
1108,21,16,17
1109,21,16,17
1110,21,16,17
1111,21,16,17
1112,21,16,17
1113,21,16,17
1114,21,16,17
1115,21,16,17
1116,21,16,17
1117,21,16,17
1118,21,16,17
1119,21,16,17
1120,21,16,17
1121,21,16,17
1122,21,16,17
1123,21,16,17
1124,21,16,17
1125,21,16,17
1126,21,16,17
1127,21,16,17
1128,21,16,17
1129,21,16,17
1130,21,16,17
1131,21,16,17
1132,21,16,17
1133,21,16,17
1134,21,16,17
1135,21,16,17
1136,21,16,17
1137,21,16,17
1138,21,16,17
1139,21,16,17
1140,21,16,17
1141,21,16,17
1142,21,16,17
1143,21,8,17
1144,21,16,17
1145,21,16,17
1146,21,16,17
1147,21,16,17
1148,21,16,17
1149,21,16,17
1150,21,16,17
1151,21,16,17
1152,21,16,17
1153,21,16,17
1154,21,16,17
1155,21,16,17
1156,21,16,17
1157,21,16,17
1158,21,16,17
1159,21,16,17
1160,21,16,17
1161,21,16,17
1162,21,16,17
1163,21,16,17
1164,21,16,17
1165,21,16,17
1166,21,16,17
1167,21,16,17
1168,21,16,17
1169,21,16,17
1170,21,16,17
1171,21,16,17
1172,21,16,17
1173,21,16,17
1174,21,16,17
1175,21,16,17
1176,21,16,17
1177,21,16,17
1178,21,16,17
1179,21,16,17
1180,21,16,17
1181,21,16,17
1182,21,16,17
1183,21,16,17
1184,21,16,17
1185,21,16,17
1186,21,16,17
1187,21,16,17
1188,21,16,17
1189,21,16,17
1190,21,16,17
1191,21,16,17
1192,21,16,17
1193,21,16,17
1194,21,16,17
1195,21,16,17
1196,21,16,17
1197,21,16,17
1198,21,16,17
1199,21,16,17
1200,21,16,17
